"","GC026126","GC026129","GC026123","GC026124","GC026127","GC026130"
"BTF3L4P1",0,0,0,0,0,0
"BTF3L4P2",0,0,0,0,0,0
"BTF3L4P3",1,0,2,0,0,1
"BTF3L4P4",0,0,0,0,0,0
"BTF3P10",0,0,0,0,0,0
"BTF3P11",0,0,0,0,0,0
"BTF3P12",0,0,0,0,0,0
"BTF3P13",3,0,0,0,0,0
"BTF3P14",0,0,0,0,0,0
"BTF3P15",0,0,0,0,0,0
"BTF3P2",0,0,0,0,0,0
"BTF3P4",1,0,0,0,1,0
"BTF3P5",0,0,0,0,0,0
"BTF3P6",0,0,0,0,0,1
"BTF3P7",0,1,0,0,0,0
"BTF3P8",0,0,0,0,0,0
"BTF3P9",2,0,0,0,1,0
"BTG1",412,525,386,434,137,208
"BTG1P1",0,1,0,0,0,0
"BTG2",653,568,634,687,497,370
"BTG3",651,768,591,831,384,573
"BTG3P1",0,0,0,0,0,0
"BTG4",1,0,0,4,0,0
"BTG4P1",0,0,0,0,0,0
"BTK",1,0,0,89,0,27
"BTLA",1,1,1,0,0,0
"BTN1A1",0,0,0,0,0,0
"BTN2A1",481,573,600,531,269,294
"BTN2A2",214,235,450,295,128,135
"BTN2A3P",17,26,23,17,16,20
"BTN3A1",88,72,142,208,46,103
"BTN3A2",66,5,116,118,33,49
"BTN3A3",110,150,175,117,71,100
"BTNL10",0,0,0,0,0,0
"BTNL2",0,0,0,0,0,0
"BTNL3",0,0,0,0,0,0
"BTNL8",0,0,0,3,0,0
"BTNL9",2,1,0,0,2,0
"BTRC",723,1008,819,1050,821,767
"BUB1",8,14,9,10,3,3
"BUB1B",14,18,12,27,2,6
"BUB1P1",0,0,0,0,0,0
"BUB3",575,554,447,692,364,422
"BUB3P1",0,1,0,2,0,1
"BUD13",244,256,276,285,153,108
"BUD13P1",7,13,2,6,1,1
"BUD31",1160,1170,1048,1046,543,631
"BUD31P1",0,0,0,0,0,0
"BUD31P2",0,0,0,0,0,0
"BVES",1,7,2,15,0,12
"BVES-AS1",0,0,0,2,0,0
"BX004987.1",0,0,0,0,0,0
"BX004987.2",0,0,0,0,0,0
"BX004987.3",0,0,0,0,0,0
"BX004987.4",2,2,2,0,4,6
"BX072566.1",0,0,0,0,0,0
"BX088563.1",0,0,0,0,0,0
"BX088702.1",0,0,0,0,0,0
"BX088702.2",0,0,0,0,0,0
"BX088702.3",0,0,0,0,0,0
"BX088702.4",0,0,0,0,0,0
"BX255923.2",4,0,3,0,2,0
"BX255923.3",0,0,1,0,0,0
"BX284613.1",0,0,0,0,0,0
"BX322557.10",44,24,56,38,22,33
"BX322557.13",0,0,0,0,0,0
"BX322559.3",0,0,0,0,0,0
"BX323014.1",0,0,0,0,0,0
"BX323860.1",0,0,0,0,0,0
"BX470102.3",0,3,7,1,0,4
"BX470187.1",0,0,0,0,0,0
"BX546479.1",0,0,0,0,0,0
"BX546479.2",0,0,0,0,0,0
"BX571672.1",0,0,0,0,0,0
"BX571818.1",0,0,0,0,0,0
"BX649553.1",0,0,0,0,0,0
"BX649553.2",0,0,0,0,0,0
"BX649553.3",0,0,0,0,0,0
"BX649553.4",0,0,0,0,0,0
"BX682235.1",0,0,0,0,0,0
"BX842568.1",0,0,1,0,0,0
"BX842568.2",0,0,1,4,0,1
"BX842568.4",0,0,0,0,0,0
"BYSL",206,255,228,272,163,133
"BZRAP1",1139,1097,1120,1026,577,414
"BZRAP1-AS1",125,58,69,65,60,39
"BZW1",2161,2429,1727,2778,1287,2200
"BZW1P1",0,1,2,0,0,0
"BZW1P2",0,0,0,0,0,0
"BZW2",310,276,243,426,195,221
"C10orf10",4144,3562,2062,62,19,6
"C10orf105",86,31,22,13,5,17
"C10orf107",40,127,50,130,39,112
"C10orf11",200,202,171,89,61,74
"C10orf111",5,5,1,8,14,2
"C10orf113",0,0,0,0,0,2
"C10orf12",32,46,25,4,27,15
"C10orf120",0,0,0,0,0,0
"C10orf126",0,0,0,0,0,0
"C10orf128",1,0,0,31,0,5
"C10orf131",1,0,0,0,0,0
"C10orf142",0,0,0,0,0,0
"C10orf2",213,268,227,229,154,160
"C10orf25",13,12,21,32,35,53
"C10orf35",260,186,232,214,145,94
"C10orf53",1,7,5,3,0,4
"C10orf54",402,601,360,1518,297,859
"C10orf55",3,2,3,2,1,1
"C10orf62",0,0,2,0,0,1
"C10orf67",0,0,1,0,0,0
"C10orf71",0,0,0,0,0,0
"C10orf71-AS1",0,0,0,0,0,0
"C10orf76",519,554,489,662,362,312
"C10orf82",1,3,4,24,6,8
"C10orf88",98,101,91,120,84,78
"C10orf90",2,1,0,3,4,0
"C10orf91",2,0,3,0,1,1
"C10orf95",5,2,2,5,4,1
"C10orf99",0,0,0,0,0,0
"C11orf1",342,481,301,493,216,234
"C11orf16",5,7,8,11,3,9
"C11orf21",9,4,4,23,2,0
"C11orf24",604,666,582,456,222,149
"C11orf30",285,308,266,332,251,216
"C11orf31",704,842,680,564,312,235
"C11orf40",0,0,0,0,0,0
"C11orf42",0,0,0,0,0,0
"C11orf44",0,0,0,0,0,0
"C11orf45",10,3,18,47,3,4
"C11orf49",546,570,625,494,275,324
"C11orf52",2,6,0,0,1,1
"C11orf53",6,10,4,0,0,3
"C11orf54",236,323,354,512,323,404
"C11orf57",328,472,327,505,226,310
"C11orf58",1399,1768,1296,1978,877,1388
"C11orf63",87,99,84,51,53,58
"C11orf65",7,3,5,14,0,13
"C11orf68",561,553,643,599,327,316
"C11orf70",69,127,95,109,53,76
"C11orf71",280,706,523,403,237,310
"C11orf72",30,53,45,18,15,8
"C11orf73",324,349,302,392,171,295
"C11orf74",128,141,119,185,107,124
"C11orf80",55,51,50,43,21,16
"C11orf84",287,336,227,352,166,160
"C11orf85",7,9,15,3,4,0
"C11orf86",0,0,0,0,0,0
"C11orf87",0,0,0,0,0,0
"C11orf88",0,1,0,0,0,1
"C11orf91",0,0,0,0,0,0
"C11orf94",2,5,0,2,2,0
"C11orf95",819,1128,790,1027,544,755
"C11orf96",58,58,64,19,2,4
"C11orf97",0,0,0,0,0,0
"C11orf98",3,5,1,5,6,3
"C11orf98P1",0,0,0,0,1,0
"C12orf10",842,884,693,608,392,356
"C12orf29",174,163,139,231,133,191
"C12orf4",107,130,111,217,123,91
"C12orf40",0,0,0,0,0,0
"C12orf42",0,0,0,3,0,0
"C12orf43",222,217,204,230,106,138
"C12orf45",49,49,58,48,22,24
"C12orf49",659,700,607,879,565,494
"C12orf50",8,3,5,2,3,0
"C12orf54",23,6,15,8,13,4
"C12orf56",5,3,4,13,13,10
"C12orf57",2760,2665,2075,1979,1110,990
"C12orf60",98,77,247,45,21,29
"C12orf65",217,251,258,206,99,133
"C12orf66",152,200,133,169,122,188
"C12orf71",0,0,1,0,0,0
"C12orf73",106,154,120,160,84,90
"C12orf74",0,0,0,0,0,0
"C12orf75",277,73,265,519,42,122
"C12orf76",168,181,197,281,109,176
"C12orf77",11,13,6,17,6,8
"C12orf80",0,0,0,1,0,0
"C14orf1",935,902,885,1102,529,748
"C14orf105",2,0,2,0,0,0
"C14orf119",442,580,614,736,258,357
"C14orf132",1921,3401,4081,1215,1195,1273
"C14orf142",128,168,119,171,96,169
"C14orf159",607,477,866,938,479,512
"C14orf166",1081,1156,1086,1238,567,748
"C14orf169",215,190,186,282,125,165
"C14orf177",0,0,0,0,0,0
"C14orf178",5,4,1,0,0,0
"C14orf180",0,0,0,0,0,0
"C14orf2",1425,1028,1087,958,647,494
"C14orf28",49,80,51,87,39,79
"C14orf37",38,36,37,215,42,138
"C14orf39",0,0,0,0,0,0
"C14orf79",227,266,284,246,166,149
"C14orf80",72,70,69,71,71,37
"C14orf93",96,112,120,133,78,75
"C15orf32",0,0,0,0,0,0
"C15orf38-AP3S2",0,0,0,0,0,0
"C15orf39",250,379,391,408,363,271
"C15orf40",347,413,356,285,169,204
"C15orf41",52,55,56,88,44,62
"C15orf43",0,0,2,0,2,0
"C15orf48",34,6,9,5,2,0
"C15orf52",664,1030,596,642,179,209
"C15orf53",0,0,0,0,0,0
"C15orf54",39,22,13,0,0,0
"C15orf56",32,39,40,25,6,7
"C15orf57",299,279,250,279,160,181
"C15orf59",34,21,21,27,3,15
"C15orf59-AS1",0,0,0,0,0,0
"C15orf61",135,127,109,198,97,96
"C15orf62",63,179,128,23,8,10
"C15orf65",24,25,24,38,9,23
"C16orf13",618,498,611,496,332,234
"C16orf45",473,393,635,366,114,151
"C16orf46",33,79,29,86,34,47
"C16orf47",2,3,0,0,0,0
"C16orf52",213,297,196,382,184,310
"C16orf54",1,0,1,10,2,1
"C16orf58",2303,1770,2145,1519,904,890
"C16orf59",33,27,43,24,23,12
"C16orf62",783,957,998,1014,512,659
"C16orf70",204,166,162,218,104,125
"C16orf71",35,47,34,40,46,37
"C16orf72",498,674,493,850,431,569
"C16orf74",0,8,3,0,1,1
"C16orf78",0,0,0,0,0,0
"C16orf82",0,0,0,0,0,0
"C16orf86",171,156,195,114,101,72
"C16orf87",69,80,62,138,43,98
"C16orf89",0,3,2,5,0,2
"C16orf90",0,0,0,0,0,0
"C16orf91",175,139,132,146,91,88
"C16orf92",0,0,0,0,0,0
"C16orf95",17,17,12,14,6,3
"C16orf96",13,19,22,10,7,9
"C16orf97",0,0,0,0,0,0
"C17orf100",65,90,61,61,36,36
"C17orf102",0,0,0,0,0,0
"C17orf104",3,2,10,4,2,0
"C17orf105",10,5,7,9,5,6
"C17orf107",75,38,143,175,73,72
"C17orf112",0,0,0,0,0,0
"C17orf47",0,0,0,0,1,0
"C17orf49",5,3,11,9,9,6
"C17orf50",1,2,6,5,1,0
"C17orf51",170,149,117,210,141,108
"C17orf53",41,40,29,21,7,13
"C17orf58",150,141,145,119,53,38
"C17orf62",1264,1485,1428,845,409,367
"C17orf64",8,7,16,0,3,5
"C17orf67",56,22,48,68,32,24
"C17orf74",0,0,0,1,1,0
"C17orf75",210,234,259,424,259,314
"C17orf77",0,0,0,0,0,0
"C17orf78",0,0,0,0,0,0
"C17orf80",375,528,451,618,398,381
"C17orf82",46,76,60,49,17,13
"C17orf89",417,394,459,389,231,184
"C17orf96",588,1049,655,393,136,225
"C17orf97",263,232,232,193,197,128
"C17orf98",1,2,2,0,1,0
"C17orf99",2,2,1,2,4,2
"C18orf12",0,0,0,0,0,0
"C18orf15",0,1,0,6,1,0
"C18orf21",200,142,139,205,97,128
"C18orf25",280,345,281,449,305,310
"C18orf32",102,158,113,202,143,133
"C18orf42",0,0,0,0,0,0
"C18orf54",25,26,26,34,15,25
"C18orf63",0,1,1,0,2,0
"C18orf65",21,35,41,32,14,22
"C18orf8",356,414,357,494,297,308
"C19orf12",596,575,602,625,430,453
"C19orf18",21,23,21,28,24,17
"C19orf24",335,354,398,445,255,210
"C19orf25",731,801,695,490,304,191
"C19orf33",20,4,28,12,14,20
"C19orf35",1,0,0,0,0,3
"C19orf38",1,3,1,12,5,4
"C19orf43",1038,1442,990,1710,736,788
"C19orf44",111,158,164,162,99,121
"C19orf45",4,0,0,2,3,0
"C19orf47",348,409,298,204,156,126
"C19orf48",489,477,495,350,169,151
"C19orf52",118,148,148,152,93,91
"C19orf53",998,1022,870,958,348,385
"C19orf54",352,427,355,328,129,160
"C19orf57",44,43,70,23,21,13
"C19orf60",554,488,577,708,436,368
"C19orf66",940,1147,925,862,365,381
"C19orf67",1,1,3,0,0,0
"C19orf68",192,248,210,187,134,117
"C19orf70",985,1039,934,730,450,415
"C19orf71",1,1,1,3,2,1
"C19orf73",6,12,9,29,20,13
"C19orf80",6,0,3,0,1,0
"C19orf81",79,123,71,101,66,46
"C19orf84",3,0,1,0,0,2
"C1D",114,130,117,195,103,117
"C1DP1",0,0,13,22,4,0
"C1DP2",0,0,0,0,0,0
"C1DP3",0,0,0,0,0,0
"C1DP4",0,0,0,0,0,0
"C1DP5",0,0,0,0,0,0
"C1GALT1",99,131,111,141,95,95
"C1GALT1C1",616,1216,699,947,347,687
"C1GALT1C1L",95,83,84,113,41,53
"C1GALT1P1",0,0,0,0,1,0
"C1GALT1P2",0,0,0,0,0,0
"C1GALT1P3",0,0,0,0,0,0
"C1QA",0,2,0,2602,38,379
"C1QB",2,4,0,3025,62,531
"C1QBP",1363,1462,1152,1504,869,882
"C1QBPP1",0,0,0,0,0,0
"C1QBPP2",0,0,0,0,0,0
"C1QC",0,2,2,2355,65,331
"C1QL1",600,1378,1155,102,100,134
"C1QL1P1",0,0,0,0,0,0
"C1QL2",0,0,0,0,0,0
"C1QL3",1,0,0,1,0,0
"C1QL4",0,1,2,0,0,1
"C1QTNF1",83,74,79,226,20,46
"C1QTNF1-AS1",2,1,2,7,2,0
"C1QTNF2",0,0,0,0,0,0
"C1QTNF3",148,80,99,827,206,606
"C1QTNF3-AMACR",0,0,0,0,0,0
"C1QTNF4",48,74,71,184,56,72
"C1QTNF5",0,0,0,0,0,0
"C1QTNF6",104,61,114,70,13,14
"C1QTNF7",19,17,55,36,8,11
"C1QTNF8",0,0,0,0,0,0
"C1QTNF9",0,0,0,0,0,0
"C1QTNF9-AS1",0,0,0,0,0,0
"C1QTNF9B",0,0,0,0,0,0
"C1QTNF9B-AS1",8,0,4,0,1,3
"C1R",8637,11294,19746,298,116,187
"C1RL",2086,2502,2934,581,233,270
"C1RL-AS1",90,121,81,38,12,16
"C1S",14553,15212,28577,1296,358,626
"C1orf100",0,0,0,0,0,0
"C1orf101",27,30,36,31,17,30
"C1orf105",1,1,2,3,0,0
"C1orf106",157,48,111,529,185,174
"C1orf109",398,464,422,445,316,341
"C1orf111",0,0,0,0,0,0
"C1orf112",55,47,29,53,32,42
"C1orf115",286,370,529,66,53,44
"C1orf116",60,20,70,61,210,103
"C1orf122",1154,1186,950,1074,504,590
"C1orf123",388,445,343,678,284,359
"C1orf127",0,1,1,0,1,0
"C1orf131",101,110,94,184,57,92
"C1orf132",111,187,269,445,397,301
"C1orf137",0,0,0,0,0,0
"C1orf140",2,5,7,8,1,1
"C1orf141",0,0,0,0,0,0
"C1orf143",2,0,0,0,0,0
"C1orf145",83,94,176,90,72,52
"C1orf146",1,0,0,0,0,0
"C1orf147",0,0,0,0,0,0
"C1orf158",21,19,35,2,2,1
"C1orf159",288,295,274,209,128,93
"C1orf162",6,6,6,73,14,1
"C1orf167",5,4,5,5,0,1
"C1orf168",1,1,1,3,1,0
"C1orf174",279,233,285,404,180,205
"C1orf185",0,0,1,0,0,0
"C1orf186",1,3,2,12,0,0
"C1orf189",0,1,0,1,0,0
"C1orf194",7,33,9,0,0,0
"C1orf195",0,0,1,0,0,0
"C1orf198",3042,2468,2412,2876,1668,1258
"C1orf204",34,17,100,96,65,72
"C1orf21",1256,1953,1150,1479,1675,1477
"C1orf210",0,0,1,0,0,0
"C1orf216",436,555,423,397,162,168
"C1orf220",3,0,1,5,0,1
"C1orf226",212,203,220,54,87,40
"C1orf228",39,38,15,99,15,15
"C1orf229",25,22,23,16,12,10
"C1orf233",38,65,101,74,44,37
"C1orf234",0,0,0,0,0,0
"C1orf27",578,685,584,642,400,546
"C1orf35",200,180,195,196,145,105
"C1orf43",2401,3084,2399,2869,1526,1857
"C1orf50",128,108,140,193,90,116
"C1orf52",204,239,192,293,101,156
"C1orf53",15,1,11,3,6,5
"C1orf54",167,184,147,256,137,138
"C1orf56",65,97,99,135,90,71
"C1orf61",7,2,5,0,4,0
"C1orf64",2,0,0,0,2,2
"C1orf68",1,0,0,0,0,0
"C1orf74",93,83,72,96,34,65
"C1orf87",9,31,19,0,5,7
"C1orf94",3,7,11,0,0,0
"C1orf95",12,15,73,2,3,3
"C2",117,162,215,153,10,22
"C2-AS1",0,0,0,3,0,0
"C20orf141",5,12,7,0,0,0
"C20orf144",0,4,3,0,0,4
"C20orf166-AS1",1,0,0,0,0,0
"C20orf173",0,0,0,0,0,0
"C20orf181",0,0,0,0,0,0
"C20orf187",0,0,0,0,0,0
"C20orf194",432,1193,692,1210,1618,1083
"C20orf195",10,26,23,0,5,0
"C20orf196",61,89,56,68,67,45
"C20orf197",0,0,1,1,0,2
"C20orf202",6,6,14,0,2,0
"C20orf203",1,6,1,5,0,4
"C20orf24",144,131,118,152,52,48
"C20orf27",404,287,494,360,180,140
"C20orf78",0,0,0,0,0,0
"C20orf85",0,0,0,0,0,0
"C20orf96",253,277,266,229,171,164
"C21orf140",0,0,0,0,0,0
"C21orf2",593,576,581,476,334,287
"C21orf33",69,5,41,6,6,33
"C21orf58",48,41,70,30,41,29
"C21orf59",170,195,166,283,166,155
"C21orf62",198,321,137,741,314,447
"C21orf62-AS1",13,22,23,17,19,11
"C21orf91",102,155,87,149,91,96
"C21orf91-OT1",0,0,0,0,0,0
"C22orf15",10,10,7,104,27,35
"C22orf23",67,87,77,45,24,16
"C22orf24",2,1,1,2,1,0
"C22orf29",342,352,376,683,400,333
"C22orf31",0,0,0,1,0,0
"C22orf34",0,1,3,0,0,0
"C22orf39",345,377,423,498,355,381
"C22orf42",0,0,0,0,0,0
"C22orf46",552,942,801,583,494,486
"C2CD2",101,92,170,219,53,70
"C2CD2L",323,459,367,705,457,365
"C2CD3",298,413,375,457,428,291
"C2CD4A",153,142,151,2,3,5
"C2CD4B",150,167,93,34,43,23
"C2CD4C",2,4,9,0,0,1
"C2CD4D",24,12,16,2,8,4
"C2CD5",187,202,203,480,290,347
"C2orf15",32,69,44,30,36,29
"C2orf16",15,13,27,6,0,0
"C2orf27A",18,8,9,15,6,3
"C2orf27AP1",3,0,1,0,1,0
"C2orf27AP2",0,0,0,0,0,0
"C2orf27AP3",0,0,0,0,0,0
"C2orf27B",0,0,0,0,0,0
"C2orf40",536,440,488,332,199,258
"C2orf42",92,129,102,188,96,96
"C2orf44",97,114,111,139,84,111
"C2orf47",122,164,150,187,95,115
"C2orf48",0,0,1,0,0,0
"C2orf49",338,419,419,427,276,353
"C2orf50",9,16,11,1,1,0
"C2orf54",5,2,0,7,1,0
"C2orf57",0,0,0,0,0,0
"C2orf61",0,0,1,0,0,1
"C2orf66",6,8,3,3,2,0
"C2orf68",439,482,426,498,332,336
"C2orf69",288,284,273,355,178,303
"C2orf69P1",0,0,0,0,6,0
"C2orf69P2",0,0,0,0,0,0
"C2orf69P3",0,0,0,0,0,0
"C2orf69P4",0,0,0,0,0,0
"C2orf70",1,7,3,13,4,3
"C2orf71",1,0,3,2,3,9
"C2orf72",161,489,334,109,51,75
"C2orf73",2,14,8,15,11,14
"C2orf74",12,13,8,4,2,6
"C2orf76",66,53,65,110,43,82
"C2orf78",0,0,0,0,0,0
"C2orf80",0,0,0,0,0,0
"C2orf81",242,334,270,206,108,112
"C2orf82",11,16,14,20,9,8
"C2orf83",1,0,0,0,1,0
"C2orf88",12,10,6,310,115,167
"C2orf91",0,0,1,6,2,4
"C3",8666,10023,22093,2033,230,424
"C3AR1",0,0,0,505,39,82
"C3P1",0,0,0,0,0,0
"C3orf14",101,93,76,102,103,69
"C3orf17",574,687,556,715,367,411
"C3orf18",526,422,620,577,375,345
"C3orf20",2,4,4,0,1,0
"C3orf22",1,0,0,0,0,0
"C3orf30",0,0,0,0,0,0
"C3orf33",112,79,68,84,81,78
"C3orf35",14,3,8,15,6,3
"C3orf36",0,0,0,0,0,0
"C3orf38",185,175,175,262,113,183
"C3orf49",0,0,0,0,0,0
"C3orf52",34,23,16,74,52,26
"C3orf56",0,0,0,0,0,0
"C3orf58",95,292,220,274,186,263
"C3orf62",134,194,131,185,115,167
"C3orf67",17,39,44,14,13,12
"C3orf67-AS1",1,2,1,0,0,0
"C3orf70",5,1,3,80,12,33
"C3orf79",0,0,0,0,0,0
"C3orf80",0,0,0,0,0,0
"C3orf84",0,0,0,0,0,0
"C4A",25,83,63,28,4,2
"C4A-AS1",0,0,0,0,0,0
"C4B",72,72,32,5,3,2
"C4B-AS1",0,0,0,0,0,0
"C4BPA",5,7,4,9,3,1
"C4BPAP1",0,0,0,0,0,0
"C4BPAP2",0,0,0,0,0,0
"C4BPB",1,3,0,10,5,2
"C4orf17",0,0,0,0,0,0
"C4orf19",154,133,104,147,157,84
"C4orf22",2,1,0,0,0,4
"C4orf26",78,4,2,701,7,4
"C4orf27",300,240,211,343,136,210
"C4orf3",1977,4089,3040,3661,1684,2246
"C4orf32",87,131,56,68,74,100
"C4orf33",149,87,107,191,124,164
"C4orf36",75,115,120,99,79,102
"C4orf45",0,2,0,0,0,0
"C4orf46",75,49,61,83,40,54
"C4orf47",57,134,92,85,25,58
"C4orf48",211,179,172,253,123,90
"C4orf50",0,0,0,0,2,0
"C4orf51",0,0,0,0,0,0
"C5",59,82,124,146,70,110
"C5AR1",24,15,43,141,20,26
"C5AR2",6,37,16,42,8,10
"C5orf15",565,759,747,1010,440,660
"C5orf17",0,3,4,4,3,2
"C5orf22",232,188,190,331,122,196
"C5orf24",469,635,530,971,546,1033
"C5orf28",125,157,126,246,105,188
"C5orf30",93,105,131,364,178,224
"C5orf34",26,24,29,19,17,21
"C5orf38",2,0,3,0,0,0
"C5orf42",326,375,435,391,478,561
"C5orf45",417,419,487,456,379,227
"C5orf46",12,1,18,27,1,6
"C5orf47",0,5,6,6,8,7
"C5orf49",50,65,43,22,1,3
"C5orf51",431,469,465,552,325,355
"C5orf52",2,0,0,0,0,2
"C5orf56",77,118,86,138,73,71
"C5orf58",0,0,2,0,0,0
"C5orf60",0,0,2,0,0,0
"C5orf63",63,49,72,111,63,80
"C5orf64",0,2,2,8,2,6
"C5orf66",25,34,29,35,19,35
"C5orf66-AS1",5,4,4,3,3,2
"C5orf66-AS2",0,0,0,0,0,3
"C5orf67",0,0,0,0,0,0
"C6",0,0,0,0,0,0
"C6orf1",319,239,378,355,182,155
"C6orf10",0,0,0,0,0,0
"C6orf106",2893,4324,2670,2721,1469,1793
"C6orf118",3,11,9,3,0,2
"C6orf120",399,504,436,500,280,310
"C6orf132",28,12,14,147,7,23
"C6orf136",222,324,263,358,258,196
"C6orf141",0,3,1,0,0,1
"C6orf15",0,0,0,0,0,0
"C6orf163",2,9,6,2,6,1
"C6orf183",7,2,7,3,1,1
"C6orf201",0,0,1,5,3,4
"C6orf203",166,210,155,323,178,210
"C6orf222",0,0,0,0,0,0
"C6orf223",21,36,39,31,7,11
"C6orf226",214,247,182,167,90,57
"C6orf229",0,0,0,0,0,0
"C6orf25",0,0,0,0,0,1
"C6orf3",6,16,9,29,14,39
"C6orf47",522,679,523,555,286,322
"C6orf47-AS1",0,0,0,0,0,0
"C6orf48",3348,2782,3126,2256,1173,1465
"C6orf52",9,6,14,8,4,9
"C6orf58",1,1,1,0,1,0
"C6orf62",1337,1565,1642,2180,1052,1417
"C6orf89",3116,3238,3426,3031,2101,2572
"C6orf99",1,1,3,0,0,3
"C7",0,0,0,5,0,0
"C7orf25",2,4,2,8,6,2
"C7orf26",393,359,319,384,178,190
"C7orf31",157,218,168,129,93,157
"C7orf33",0,0,0,0,0,0
"C7orf34",0,0,0,0,0,0
"C7orf43",335,292,221,368,232,185
"C7orf49",630,679,573,523,311,347
"C7orf50",1166,684,1228,952,474,519
"C7orf55",71,85,65,96,56,65
"C7orf55-LUC7L2",0,0,0,0,0,0
"C7orf57",5,11,9,11,0,5
"C7orf60",192,231,157,182,68,131
"C7orf61",4,2,2,7,0,4
"C7orf62",0,0,0,0,0,0
"C7orf65",1,0,0,1,3,0
"C7orf66",0,0,0,0,0,0
"C7orf69",0,0,0,0,0,0
"C7orf71",0,0,0,0,0,0
"C7orf72",0,0,0,0,0,0
"C7orf73",482,388,517,860,369,569
"C7orf77",0,0,0,0,0,0
"C8A",0,0,0,0,0,0
"C8B",0,0,1,0,0,0
"C8G",15,12,12,19,5,4
"C8orf17",0,0,0,0,0,0
"C8orf22",1,8,2,0,0,0
"C8orf31",2,2,9,8,2,1
"C8orf33",2274,1392,1575,1149,832,982
"C8orf34",11,6,11,10,8,8
"C8orf34-AS1",1,2,0,3,3,0
"C8orf37",62,59,63,68,72,109
"C8orf37-AS1",1,0,0,0,0,0
"C8orf4",0,0,0,21,2,0
"C8orf44",38,36,37,38,18,32
"C8orf44-SGK3",0,0,0,0,0,0
"C8orf46",24,22,37,41,16,18
"C8orf48",12,23,19,15,7,16
"C8orf49",1,0,0,1,0,0
"C8orf58",168,419,308,382,230,179
"C8orf59",446,444,320,519,188,294
"C8orf59P1",0,0,0,0,0,0
"C8orf59P2",0,0,0,0,0,0
"C8orf74",0,0,0,0,0,0
"C8orf76",29,41,36,80,50,46
"C8orf82",364,510,453,574,320,267
"C8orf86",1,4,0,5,2,3
"C8orf87",0,0,0,0,0,0
"C8orf88",137,153,85,208,94,117
"C8orf89",0,0,0,0,0,0
"C9",0,0,0,0,0,0
"C9orf106",3,3,2,2,0,6
"C9orf114",452,464,447,575,343,340
"C9orf116",219,216,250,133,97,61
"C9orf129",0,1,0,0,0,0
"C9orf131",1,0,1,0,0,0
"C9orf135",4,26,3,10,14,3
"C9orf135-AS1",0,0,0,0,1,0
"C9orf139",0,1,5,5,3,2
"C9orf142",293,342,332,525,220,205
"C9orf147",6,10,11,11,2,6
"C9orf152",1,1,0,0,0,0
"C9orf153",3,2,0,0,3,4
"C9orf16",2471,1541,1866,1196,555,568
"C9orf163",7,22,17,9,16,21
"C9orf170",5,4,7,13,7,8
"C9orf172",93,164,179,126,120,95
"C9orf173",5,15,16,12,1,3
"C9orf173-AS1",28,54,83,3,9,8
"C9orf24",34,26,46,29,19,10
"C9orf3",1405,1667,1481,1869,920,944
"C9orf40",56,81,76,106,49,100
"C9orf41-AS1",2,1,1,0,0,0
"C9orf43",36,39,29,38,28,29
"C9orf47",6,7,1,9,4,5
"C9orf50",16,21,19,14,2,1
"C9orf57",0,0,0,0,0,0
"C9orf62",0,0,0,0,0,0
"C9orf64",263,266,250,326,151,232
"C9orf66",14,30,27,5,9,4
"C9orf69",415,452,365,346,180,144
"C9orf72",157,144,119,175,83,128
"C9orf78",935,955,1035,1093,486,648
"C9orf84",0,0,0,3,0,0
"C9orf85",212,213,189,264,165,186
"C9orf9",147,185,183,192,114,128
"C9orf91",961,855,901,407,359,356
"C9orf92",1,0,0,0,0,0
"CA1",0,1,1,0,1,1
"CA10",328,456,251,74,15,46
"CA11",1219,2052,1685,1193,866,694
"CA12",66100,47925,77269,65268,42853,51761
"CA13",108,104,126,119,101,105
"CA14",48,92,99,884,373,466
"CA15P1",0,0,0,0,0,0
"CA15P2",0,0,0,0,0,0
"CA2",1694,1426,624,1083,6572,3433
"CA3",13201,11126,18188,17743,33159,24200
"CA3-AS1",27,27,33,68,63,47
"CA4",0,0,0,35,0,10
"CA5A",4,4,4,16,3,4
"CA5AP1",0,0,0,0,0,0
"CA5B",586,422,428,487,415,584
"CA5BP1",42,60,39,93,76,72
"CA6",0,0,0,0,0,0
"CA7",0,0,0,0,0,0
"CA8",11,18,34,8,0,2
"CA9",73,723,747,62,171,97
"CAAP1",244,286,238,398,215,280
"CAB39",789,674,593,1023,390,546
"CAB39L",285,372,273,618,244,272
"CAB39P1",0,0,0,0,0,0
"CABIN1",975,1209,1195,855,867,556
"CABLES1",298,259,300,767,280,647
"CABLES2",130,126,120,144,92,62
"CABP1",5,22,20,0,8,3
"CABP2",0,0,0,0,0,0
"CABP4",2,0,2,0,1,1
"CABP5",0,0,0,0,0,0
"CABP7",1,0,1,18,0,0
"CABS1",0,0,0,0,0,0
"CABYR",19,16,20,25,7,15
"CABYRP1",0,0,0,0,0,0
"CACFD1",621,572,635,498,413,326
"CACHD1",523,628,292,725,340,532
"CACNA1A",1914,1179,1235,2236,774,1195
"CACNA1B",6,3,4,4,0,1
"CACNA1C",481,344,349,98,12,105
"CACNA1C-AS1",5,2,7,5,3,0
"CACNA1C-AS2",11,19,18,25,13,16
"CACNA1C-AS3",0,0,0,0,0,0
"CACNA1C-AS4",0,0,0,0,0,0
